title,id,date,bucket,confidence,num_assets,file
Customer Engagement Strategies,66f33443-11b4-800f-b21e-46b8dbac0522,2024-09-24,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Customer_Engagement_Strategies__66f33443.md
Website Features for Taxation,66f9ce5a-e74c-800f-9ebb-0f3ad25bfdc4,2024-09-29,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Website_Features_for_Taxation__66f9ce5a.md
Heart Blockage Symptoms,66fcb47e-d294-800f-ae07-2ae624ee4bcd,2024-10-02,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Heart_Blockage_Symptoms__66fcb47e.md
Ayurveda for Thyroid Disorders,6700f13d-478c-800f-9d41-83e19e6826de,2024-10-05,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Ayurveda_for_Thyroid_Disorders__6700f13d.md
Content Sharing Insights,670813f5-d128-800f-8756-e7e7f0fa7a39,2024-10-10,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Content_Sharing_Insights__670813f5.md
Brother 820DW Duplex Printing,6717deef-3a1c-800f-918c-2f4d3741b068,2024-10-22,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Brother_820DW_Duplex_Printing__6717deef.md
Voucher Entry Overview,671cc62a-9518-800f-87d1-d228e1658b39,2024-10-26,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Voucher_Entry_Overview__671cc62a.md
Email Scheduling Guide,672287da-4cf4-800f-8f78-14a7ce0b8b96,2024-10-30,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Email_Scheduling_Guide__672287da.md
Automated Invoicing in Odoo,67228dee-de2c-800f-b1fc-338940ffb1a3,2024-10-30,Nivy Advisory (Tax & Accounting),5,0,Nivy_Advisory_Tax_Accounting/Automated_Invoicing_in_Odoo__67228dee.md
WhatsApp Tax Services Credibility,6722bcf6-ff28-800f-9223-bf32c8ddca71,2024-10-30,Nivy Advisory (Tax & Accounting),5,0,Nivy_Advisory_Tax_Accounting/WhatsApp_Tax_Services_Credibility__6722bcf6.md
Import HTML Template Mautic,672505ff-a04c-800f-b7da-f3a4fd2ddc2c,2024-11-01,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Import_HTML_Template_Mautic__672505ff.md
Accounting Company History Overview,672a97b3-935c-800f-89fe-549749d8fe5f,2024-11-05,Nivy Advisory (Tax & Accounting),5,0,Nivy_Advisory_Tax_Accounting/Accounting_Company_History_Overview__672a97b3.md
Taj Mahal Description,672f6124-b3f0-800f-b80d-8bd71fc5f562,2024-11-09,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Taj_Mahal_Description__672f6124.md
Husband's Deep Love Benefits,672fa4bc-bf3c-800f-a335-54c40e128bea,2024-11-09,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Husbands_Deep_Love_Benefits__672fa4bc.md
Signs She's Using You,672fd0a4-49f0-800f-8011-2aab03eae53a,2024-11-09,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Signs_Shes_Using_You__672fd0a4.md
Women's Sexual Thoughts,672fe04d-8d0c-800f-8502-da4cc94da27c,2024-11-09,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Womens_Sexual_Thoughts__672fe04d.md
Revenge or Reflection,67301606-4558-800f-a20a-ab1c8104ddc2,2024-11-10,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Revenge_or_Reflection__67301606.md
Emotional Expression in Women,67302ffa-b5c8-800f-9fc5-cb7d9c366726,2024-11-10,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Emotional_Expression_in_Women__67302ffa.md
How to know love,67327bcb-6d80-800f-b900-abd2664591ce,2024-11-11,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/How_to_know_love__67327bcb.md
Signs of Sacrifice,67332435-83d8-800f-b896-0be07130312f,2024-11-12,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Signs_of_Sacrifice__67332435.md
Student Evaluation Criteria,673375e2-53d8-800f-b672-f6b5b61317c0,2024-11-12,Nivy Academy,5,0,Nivy_Academy/Student_Evaluation_Criteria__673375e2.md
Beer and Cancer Risk,673399a2-fe24-800f-be53-1f83d2ec28b8,2024-11-12,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Beer_and_Cancer_Risk__673399a2.md
I need help,6734d507-3858-800f-a3fc-6475eeddb969,2024-11-13,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/I_need_help__6734d507.md
Alcohol and Cancer Risk,67362599-d364-800f-bc50-ba12f81573a6,2024-11-14,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Alcohol_and_Cancer_Risk__67362599.md
SEO for Tax Website,673e055d-b284-800f-9e21-aa64e812c2d2,2024-11-20,Nivy Next (Digital Marketing & AI),6,0,Nivy_Next_Digital_Marketing_AI/SEO_for_Tax_Website__673e055d.md
Social Media Marketing Guide,673e0691-99d8-800f-a778-282fe2bb2ad8,2024-11-20,Nivy Next (Digital Marketing & AI),7,0,Nivy_Next_Digital_Marketing_AI/Social_Media_Marketing_Guide__673e0691.md
Changing a Habit Guide,67424e4d-2f98-800f-80bb-269d696c63e5,2024-11-23,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Changing_a_Habit_Guide__67424e4d.md
Digital Marketing Report Template,674b034c-93b8-800f-9693-299b7c4bdd9b,2024-11-30,Nivy Next (Digital Marketing & AI),10,0,Nivy_Next_Digital_Marketing_AI/Digital_Marketing_Report_Template__674b034c.md
Measuring Brand Awareness,674b43d3-9014-800f-8034-5284ddbd737b,2024-11-30,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Measuring_Brand_Awareness__674b43d3.md
Board Resolution NOC Template,67559a97-16d4-800f-8ce5-294229df9207,2024-12-08,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Board_Resolution_NOC_Template__67559a97.md
Modeling Agency Revenue Streams,6759db0c-30a0-800f-90f3-7d33a764b913,2024-12-11,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Modeling_Agency_Revenue_Streams__6759db0c.md
SEO Strategy Guide,675ad5aa-54e4-800f-89c6-138747372ccb,2024-12-12,Nivy Next (Digital Marketing & AI),5,0,Nivy_Next_Digital_Marketing_AI/SEO_Strategy_Guide__675ad5aa.md
Social Media Platforms List,675b6de6-62e0-800f-b89d-a6f0ce485642,2024-12-12,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Social_Media_Platforms_List__675b6de6.md
Marketplace on Festival Day,675c23cc-4ac4-800f-9001-238445c6d399,2024-12-13,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Marketplace_on_Festival_Day__675c23cc.md
Accounting Firm Business Plan,675d775a-190c-800f-b056-6f1321965eb0,2024-12-14,Nivy Advisory (Tax & Accounting),5,0,Nivy_Advisory_Tax_Accounting/Accounting_Firm_Business_Plan__675d775a.md
Outbound Marketing Plan,675de0b9-79d4-800f-9227-742bb5226e68,2024-12-14,Nivy Next (Digital Marketing & AI),6,0,Nivy_Next_Digital_Marketing_AI/Outbound_Marketing_Plan__675de0b9.md
Digital Marketing Company Profile,67615a74-7738-800f-a6f8-ba9705a4f61e,2024-12-17,Nivy Next (Digital Marketing & AI),5,0,Nivy_Next_Digital_Marketing_AI/Digital_Marketing_Company_Profile__67615a74.md
Avoiding Spam Emails,6761b6e9-3070-800f-9e76-16e8687231d3,2024-12-17,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Avoiding_Spam_Emails__6761b6e9.md
Off-page SEO Strategies,67643b29-4fd0-800f-8849-7be88bebbe9a,2024-12-19,Nivy Next (Digital Marketing & AI),5,0,Nivy_Next_Digital_Marketing_AI/Off-page_SEO_Strategies__67643b29.md
What are citations,676461b3-7930-800f-bdc6-3321d68ba344,2024-12-19,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/What_are_citations__676461b3.md
Business Profile Creation,67685be5-1cac-800f-b6c5-0a414dd7e6f1,2024-12-22,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Business_Profile_Creation__67685be5.md
Job Placement Company Skills,67690860-0e2c-800f-ade6-ac07d4b6e22e,2024-12-23,Nivy Jobs,5,0,Nivy_Jobs/Job_Placement_Company_Skills__67690860.md
Job Company Profile,6769f8fa-f4c0-800f-818c-f54e68e45a29,2024-12-23,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Job_Company_Profile__6769f8fa.md
Creating Client Portfolio,676c3686-fe8c-800f-a1f2-189b4644b7bb,2024-12-25,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Creating_Client_Portfolio__676c3686.md
Emotional Needs Overview,676ee453-41b4-800f-a08e-662255423cfd,2024-12-27,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Emotional_Needs_Overview__676ee453.md
Challenges Women Face,676eed2f-281c-800f-8f74-5d3e384326af,2024-12-27,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Challenges_Women_Face__676eed2f.md
Software and Marketing Profile,67701957-91e8-800f-a1df-93cf5376acb3,2024-12-28,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Software_and_Marketing_Profile__67701957.md
Off-Page SEO Strategies,6771bfd3-4c84-800f-b826-8bc6b65b90d8,2024-12-29,Nivy Next (Digital Marketing & AI),5,0,Nivy_Next_Digital_Marketing_AI/Off-Page_SEO_Strategies__6771bfd3.md
Dark Psychology Overview,677a80f6-4f74-800f-885e-fad0ce2f553d,2025-01-05,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Dark_Psychology_Overview__677a80f6.md
Electric ray features,677d23a7-c9b4-800f-8ac5-9b251230cfd5,2025-01-07,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Electric_ray_features__677d23a7.md
Robots.txt File Overview,677d9399-45b0-800f-8307-4057cbc220ca,2025-01-07,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Robotstxt_File_Overview__677d9399.md
Electric ray features adaptations,677fc973-37dc-800f-97c9-4a757e803a1b,2025-01-09,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Electric_ray_features_adaptations__677fc973.md
Fusilier Fish Adaptations,67810eec-e5c0-800f-b015-8ad03f713fbb,2025-01-10,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Fusilier_Fish_Adaptations__67810eec.md
Red Joe Discovers Boys,6786ab57-3620-800f-808b-e9a8a5490ba0,2025-01-14,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Red_Joe_Discovers_Boys__6786ab57.md
Ganga Action Plan Goals,6787b6db-8360-800f-9a62-bf831e989b51,2025-01-15,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Ganga_Action_Plan_Goals__6787b6db.md
Why Bad Boys Attract,6789e298-6408-800f-8b0b-4f933efa0654,2025-01-17,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Why_Bad_Boys_Attract__6789e298.md
Outbound Digital Marketing Methods,678d110a-b280-800f-933d-6e88aa0bc3ce,2025-01-19,Nivy Next (Digital Marketing & AI),5,0,Nivy_Next_Digital_Marketing_AI/Outbound_Digital_Marketing_Methods__678d110a.md
Email Software Intervals,678d2723-d224-800f-bbea-bda3586234b7,2025-01-19,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Email_Software_Intervals__678d2723.md
Board Resolution for Branch,6794a4ab-78c8-800f-a71e-fb74457e9ee7,2025-01-25,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Board_Resolution_for_Branch__6794a4ab.md
Tom Sawyer Picnic Location,6794e453-d954-800f-8428-05452d4ce8e5,2025-01-25,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Tom_Sawyer_Picnic_Location__6794e453.md
Challenges Women Face,67962979-34c8-800f-8d2d-1e8db562507e,2025-01-26,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Challenges_Women_Face__67962979.md
Meaning of Empathetic,679797cc-2f6c-800f-b2a4-a9427cf68bbb,2025-01-27,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Meaning_of_Empathetic__679797cc.md
Finding Company Emails USA,67992a04-d0b0-800f-8bfb-7505ad4c864e,2025-01-28,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Finding_Company_Emails_USA__67992a04.md
Modeling Career Guide,67a4e249-c82c-800f-a83c-86dcc7e39555,2025-02-06,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Modeling_Career_Guide__67a4e249.md
SC Guidelines on Alimony,67a52881-aae8-800f-95e5-6bcf1a2648bc,2025-02-06,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/SC_Guidelines_on_Alimony__67a52881.md
Email marketing template,67a8912a-43f8-800f-949f-aaa5bdbafd4e,2025-02-09,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Email_marketing_template__67a8912a.md
WordPress Critical Error Fix,67a897b0-7648-800f-9afb-9f201c8c7409,2025-02-09,Nivy Next (Digital Marketing & AI),5,0,Nivy_Next_Digital_Marketing_AI/WordPress_Critical_Error_Fix__67a897b0.md
Email Marketing Workflow,67a92a9b-9cb8-800f-9cf1-62b89a524d51,2025-02-09,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Email_Marketing_Workflow__67a92a9b.md
Sales Promotion Strategies,67aa4f68-e69c-800f-84d6-9e9942c903d4,2025-02-10,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Sales_Promotion_Strategies__67aa4f68.md
Digital Marketing Competitor Analysis,67aa7d45-9f5c-800f-bc7d-6e165185840e,2025-02-10,Nivy Next (Digital Marketing & AI),10,0,Nivy_Next_Digital_Marketing_AI/Digital_Marketing_Competitor_Analysis__67aa7d45.md
Digital Marketing Departments,67aa9cc6-7e74-800f-9c44-110d11e12b9a,2025-02-11,Nivy Next (Digital Marketing & AI),5,0,Nivy_Next_Digital_Marketing_AI/Digital_Marketing_Departments__67aa9cc6.md
Hello Assistance,67ab33ec-1648-800f-9d31-3f4432209e41,2025-02-11,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Hello_Assistance__67ab33ec.md
YouTube Banner Size Guide,67ab7cb5-c170-800f-805f-6f71b29fefa7,2025-02-11,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/YouTube_Banner_Size_Guide__67ab7cb5.md
Chrome Data Extraction Tools,67ac09ea-6534-800f-83d5-843a8e91b8a1,2025-02-12,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Chrome_Data_Extraction_Tools__67ac09ea.md
WebHarvy Link Automation,67ac17fe-87cc-800f-869e-075fa67c71a5,2025-02-12,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/WebHarvy_Link_Automation__67ac17fe.md
Inauguration Ceremony Explained,67ac250a-21d8-800f-932d-e11e0af9f50c,2025-02-12,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Inauguration_Ceremony_Explained__67ac250a.md
Piccadilly Locations and References,67ac271f-f244-800f-a3a8-76978a07993b,2025-02-12,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Piccadilly_Locations_and_References__67ac271f.md
Default logo explanation,67ac58c8-47c0-800f-857d-5dd44a795a06,2025-02-12,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Default_logo_explanation__67ac58c8.md
ParseHub Pricing Plans,67ac6157-442c-800f-8e6b-84980d3976e1,2025-02-12,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/ParseHub_Pricing_Plans__67ac6157.md
Careerfy Job Search Features,67ac7ab9-589c-800f-be4e-ff29793f9a71,2025-02-12,Nivy Jobs,5,0,Nivy_Jobs/Careerfy_Job_Search_Features__67ac7ab9.md
SRK Romance Style,67acfeab-c40c-800f-976e-3143f84c0e8e,2025-02-12,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/SRK_Romance_Style__67acfeab.md
Pusher Chat Integration Guide,67adb776-c248-800f-8a27-909cc958f1f0,2025-02-13,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Pusher_Chat_Integration_Guide__67adb776.md
Latest Bollywood Movies,67af0e4a-d170-800f-893f-07ba7ee7f412,2025-02-14,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Latest_Bollywood_Movies__67af0e4a.md
Chhava PVR Photos,67af0ea1-1e50-800f-8a4c-03275b7a7566,2025-02-14,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Chhava_PVR_Photos__67af0ea1.md
Girl's Reaction to Indifference,67b299b9-a9bc-800f-81f0-5844a65e2ae6,2025-02-17,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Girls_Reaction_to_Indifference__67b299b9.md
Digital Marketing PPT Topics,67b9452b-7e14-800f-b67b-50c751118960,2025-02-22,Nivy Next (Digital Marketing & AI),5,0,Nivy_Next_Digital_Marketing_AI/Digital_Marketing_PPT_Topics__67b9452b.md
WhatsApp Sales Workflow,67c0ca27-efd8-800f-8d23-4d910a0e72b1,2025-02-27,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/WhatsApp_Sales_Workflow__67c0ca27.md
Email Template Creation,67c42f7c-9528-800f-a99f-9b222e0606b0,2025-03-02,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Email_Template_Creation__67c42f7c.md
Fig and Insects,67c4fa60-7830-800f-ae87-947243e38df3,2025-03-03,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Fig_and_Insects__67c4fa60.md
Registered Marketing Course,67cd639d-1920-800f-80e5-ada4467f1131,2025-03-09,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Registered_Marketing_Course__67cd639d.md
Email Marketing Workflow,67cf0261-0cbc-800f-921e-fc679699bb1f,2025-03-10,Miscellaneous & Uncategorized,0,0,Miscellaneous_Uncategorized/Email_Marketing_Workflow__67cf0261.md
Email Workflow for Course Sales,67cfa1c0-12ec-800f-a672-44d9081d821c,2025-03-11,Nivy Academy,11,0,Nivy_Academy/Email_Workflow_for_Course_Sales__67cfa1c0.md
